# Nafis - Task 1: Defensive Work Rate by Tournament Stage (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament (n=484). tournament_stage: "Advanced to Knockout" = team reached the Round of 32; "Eliminated in Group Stage" = team did not.
player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Pau Cubarsí,Spain,D,750,8,5,13,1.560,Advanced to Knockout
Marc Cucurella,Spain,D,750,8,7,15,1.800,Advanced to Knockout
Alexis Mac Allister,Argentina,M,749,21,11,32,3.845,Advanced to Knockout
Lionel Messi,Argentina,,740,11,1,12,1.459,Advanced to Knockout
Aymeric Laporte,Spain,D,728,5,15,20,2.473,Advanced to Knockout
Rodri,Spain,M,726,26,2,28,3.471,Advanced to Knockout
Kylian Mbappé,France,F,698,1,0,1,0.129,Advanced to Knockout
Marc Guéhi,England,D,669,2,6,8,1.076,Advanced to Knockout
Enzo Fernández,Argentina,M,663,11,5,16,2.172,Advanced to Knockout
Dayot Upamecano,France,D,661,17,15,32,4.357,Advanced to Knockout
Harry Kane,England,F,653,3,1,4,0.551,Advanced to Knockout
Michael Olise,France,M,650,15,3,18,2.492,Advanced to Knockout
Ezri Konsa,England,D,647,5,8,13,1.808,Advanced to Knockout
Elliot Anderson,England,M,634,21,8,29,4.117,Advanced to Knockout
Lisandro Martínez,Argentina,D,626,12,6,18,2.588,Advanced to Knockout
Jude Bellingham,England,M,616,14,3,17,2.484,Advanced to Knockout
Lamine Yamal,Spain,M,615,11,3,14,2.049,Advanced to Knockout
Cristian Romero,Argentina,D,611,15,10,25,3.682,Advanced to Knockout
Jules Koundé,France,D,610,14,3,17,2.508,Advanced to Knockout
Mikel Oyarzabal,Spain,F,605,6,1,7,1.041,Advanced to Knockout
Julián Alvarez,Argentina,F,601,5,2,7,1.048,Advanced to Knockout
Granit Xhaka,Switzerland,M,600,5,4,9,1.350,Advanced to Knockout
Manuel Akanji,Switzerland,D,600,9,6,15,2.250,Advanced to Knockout
Nico Elvedi,Switzerland,D,600,4,5,9,1.350,Advanced to Knockout
Ousmane Dembélé,France,F,597,3,0,3,0.452,Advanced to Knockout
Remo Freuler,Switzerland,M,594,10,6,16,2.424,Advanced to Knockout
Adrien Rabiot,France,M,585,8,11,19,2.923,Advanced to Knockout
Achraf Hakimi,Morocco,D,570,12,6,18,2.842,Advanced to Knockout
Brandon Mechele,Belgium,D,570,7,4,11,1.737,Advanced to Knockout
Pedro Porro,Spain,D,564,14,8,22,3.511,Advanced to Knockout
Neil El Aynaoui,Morocco,M,563,18,7,25,3.996,Advanced to Knockout
Declan Rice,England,M,558,11,5,16,2.581,Advanced to Knockout
Nahuel Molina,Argentina,D,531,15,8,23,3.898,Advanced to Knockout
Ricardo Rodríguez,Switzerland,D,519,11,4,15,2.601,Advanced to Knockout
Leandro Trossard,Belgium,F,510,6,5,11,1.941,Advanced to Knockout
Breel Embolo,Switzerland,F,506,1,2,3,0.534,Advanced to Knockout
Pedri,Spain,M,499,12,10,22,3.968,Advanced to Knockout
Dani Olmo,Spain,M,495,7,0,7,1.273,Advanced to Knockout
Rodrigo De Paul,Argentina,M,495,6,6,12,2.182,Advanced to Knockout
Alex Baena,Spain,M,487,8,1,9,1.663,Advanced to Knockout
Noussair Mazraoui,Morocco,D,486,14,2,16,2.963,Advanced to Knockout
Davinson Sánchez,Colombia,D,480,4,7,11,2.063,Advanced to Knockout
Andrés Cubas,Paraguay,M,480,23,11,34,6.375,Advanced to Knockout
Sander Berge,Norway,M,480,6,10,16,3.000,Advanced to Knockout
William Saliba,France,D,480,2,6,8,1.500,Advanced to Knockout
Kristoffer Ajer,Norway,D,480,9,4,13,2.438,Advanced to Knockout
Gustavo Gómez,Paraguay,D,480,4,2,6,1.125,Advanced to Knockout
Mohamed Hany,Egypt,D,480,14,6,20,3.750,Advanced to Knockout
Jhon Lucumí,Colombia,D,479,2,5,7,1.315,Advanced to Knockout
Luis Díaz,Colombia,M,478,2,1,3,0.565,Advanced to Knockout
Timothy Castagne,Belgium,D,478,14,8,22,4.142,Advanced to Knockout
Issa Diop,Morocco,D,477,1,7,8,1.509,Advanced to Knockout
Nicolás Tagliafico,Argentina,D,477,8,6,14,2.642,Advanced to Knockout
Youri Tielemans,Belgium,M,475,7,1,8,1.516,Advanced to Knockout
Leandro Paredes,Argentina,M,473,10,6,16,3.044,Advanced to Knockout
Martin Ødegaard,Norway,M,471,6,3,9,1.720,Advanced to Knockout
Gustavo Puerta,Colombia,M,470,3,4,7,1.340,Advanced to Knockout
Bilal El Khannouss,Morocco,M,466,14,1,15,2.897,Advanced to Knockout
Yasser Ibrahim,Egypt,D,466,8,2,10,1.931,Advanced to Knockout
Erling Haaland,Norway,F,465,1,1,2,0.387,Advanced to Knockout
Lucas Digne,France,D,465,5,4,9,1.742,Advanced to Knockout
Brahim Díaz,Morocco,M,462,4,4,8,1.558,Advanced to Knockout
Nico O'Reilly,England,D,462,6,3,9,1.753,Advanced to Knockout
Gabriel Magalhães,Brazil,D,450,5,4,9,1.800,Advanced to Knockout
Marquinhos,Brazil,D,450,5,3,8,1.600,Advanced to Knockout
Renato Veiga,Portugal,D,450,4,8,12,2.400,Advanced to Knockout
Alistair Johnston,Canada,D,450,2,6,8,1.600,Advanced to Knockout
Weston McKennie,USA,M,444,8,7,15,3.041,Advanced to Knockout
Patrick Berg,Norway,M,444,10,1,11,2.230,Advanced to Knockout
Torbjørn Heggem,Norway,D,444,8,2,10,2.027,Advanced to Knockout
Maxim De Cuyper,Belgium,D,443,6,6,12,2.438,Advanced to Knockout
Douglas Santos,Brazil,D,442,18,6,24,4.887,Advanced to Knockout
Vinícius Júnior,Brazil,F,441,3,1,4,0.816,Advanced to Knockout
Cristiano Ronaldo,Portugal,F,441,2,1,3,0.612,Advanced to Knockout
Juan Cáceres,Paraguay,D,439,22,5,27,5.535,Advanced to Knockout
Azzedine Ounahi,Morocco,M,437,3,2,5,1.030,Advanced to Knockout
Marwan Attia,Egypt,M,434,8,3,11,2.281,Advanced to Knockout
Richie Laryea,Canada,D,431,10,2,12,2.506,Advanced to Knockout
David Møller Wolfe,Norway,D,431,5,3,8,1.671,Advanced to Knockout
Roberto Alvarado,Mexico,F,430,9,2,11,2.302,Advanced to Knockout
Mohamed Salah,Egypt,M,428,1,2,3,0.631,Advanced to Knockout
Bruno Fernandes,Portugal,M,423,8,0,8,1.702,Advanced to Knockout
Jonathan David,Canada,F,421,4,3,7,1.496,Advanced to Knockout
Bruno Guimarães,Brazil,M,419,11,2,13,2.792,Advanced to Knockout
Julián Quiñones,Mexico,F,414,4,0,4,0.870,Advanced to Knockout
Jefferson Lerma,Colombia,M,412,2,5,7,1.529,Advanced to Knockout
Dan Ndoye,Switzerland,M,408,6,5,11,2.426,Advanced to Knockout
Danilo,Brazil,D,405,7,7,14,3.111,Advanced to Knockout
Djed Spence,England,D,402,19,6,25,5.597,Advanced to Knockout
Daniel Muñoz,Colombia,M,399,10,6,16,3.609,Advanced to Knockout
Anthony Gordon,England,F,399,5,3,8,1.805,Advanced to Knockout
Désiré Doué,France,F,398,10,2,12,2.714,Advanced to Knockout
Nuno Mendes,Portugal,D,397,9,0,9,2.040,Advanced to Knockout
Stephen Eustaquio,Canada,M,391,11,3,14,3.223,Advanced to Knockout
João Neves,Portugal,M,391,13,5,18,4.143,Advanced to Knockout
Jan Paul van Hecke,Netherlands,D,390,9,4,13,3.000,Advanced to Knockout
Alessandro Circati,Australia,D,390,10,2,12,2.769,Advanced to Knockout
Virgil van Dijk,Netherlands,D,390,2,3,5,1.154,Advanced to Knockout
Diney Borges,Cabo Verde,D,390,11,4,15,3.462,Advanced to Knockout
Pico,Cabo Verde,D,390,7,7,14,3.231,Advanced to Knockout
Johan Mojica,Colombia,D,390,5,3,8,1.846,Advanced to Knockout
Moussa Niakhaté,Senegal,D,390,2,4,6,1.385,Advanced to Knockout
Denzel Dumfries,Netherlands,M,390,6,1,7,1.615,Advanced to Knockout
Harry Souttar,Australia,D,390,2,4,6,1.385,Advanced to Knockout
Krépin Diatta,Senegal,M,390,12,3,15,3.462,Advanced to Knockout
Junior Alonso,Paraguay,D,390,11,4,15,3.462,Advanced to Knockout
Matías Galarza,Paraguay,M,388,17,7,24,5.567,Advanced to Knockout
Kevin De Bruyne,Belgium,M,387,3,0,3,0.698,Advanced to Knockout
Julio Enciso,Paraguay,M,387,5,1,6,1.395,Advanced to Knockout
Manu Koné,France,M,386,7,3,10,2.332,Advanced to Knockout
Ismael Saibari,Morocco,M,385,3,0,3,0.701,Advanced to Knockout
Bradley Barcola,France,F,384,5,1,6,1.406,Advanced to Knockout
Ayyoub Bouaddi,Morocco,M,384,9,2,11,2.578,Advanced to Knockout
Vitinha,Portugal,M,381,2,2,4,0.945,Advanced to Knockout
Jhon Arias,Colombia,M,381,15,2,17,4.016,Advanced to Knockout
Tajon Buchanan,Canada,M,380,7,1,8,1.895,Advanced to Knockout
Casemiro,Brazil,M,379,14,6,20,4.749,Advanced to Knockout
Mostafa Ziko,Egypt,M,375,5,3,8,1.920,Advanced to Knockout
Alexander Freeman,USA,D,373,14,6,20,4.826,Advanced to Knockout
Jonathan Tah,Germany,D,373,3,1,4,0.965,Advanced to Knockout
Jesús Gallardo,Mexico,D,372,3,7,10,2.419,Advanced to Knockout
Luc De Fougerolles,Canada,D,372,8,2,10,2.419,Advanced to Knockout
Cody Gakpo,Netherlands,M,371,3,2,5,1.213,Advanced to Knockout
Rami Rabia,Egypt,D,368,8,4,12,2.935,Advanced to Knockout
Ismaïla Sarr,Senegal,F,366,1,2,3,0.738,Advanced to Knockout
Emam Ashour,Egypt,M,366,3,4,7,1.721,Advanced to Knockout
Malik Tillman,USA,M,365,8,6,14,3.452,Advanced to Knockout
Idrissa Gana Gueye,Senegal,M,364,6,2,8,1.978,Advanced to Knockout
Sadio Mané,Senegal,M,364,4,3,7,1.731,Advanced to Knockout
Florian Wirtz,Germany,M,363,7,2,9,2.231,Advanced to Knockout
Moisés Caicedo,Ecuador,M,360,9,4,13,3.250,Advanced to Knockout
Pedro Vite,Ecuador,M,360,15,6,21,5.250,Advanced to Knockout
Aurélien Tchouaméni,France,M,360,17,6,23,5.750,Advanced to Knockout
Rúben Dias,Portugal,D,360,5,5,10,2.500,Advanced to Knockout
Yoane Wissa,DR Congo,F,360,1,0,1,0.250,Advanced to Knockout
