# Ratul - Task 3: Possession & Shot Accuracy (FIFA World Cup 2026, HIT140 group project)
Squad,Poss,SoTpct,group
Algeria,61.0,34.1,Above median
Argentina,57.6,38.6,Above median
Australia,41.0,28.6,Below median
Austria,45.0,25.0,Below median
Belgium,51.2,30.4,Above median
Bosnia-Herz,46.0,37.8,Below median
Brazil,53.0,40.5,Above median
Cabo Verde,37.3,24.5,Below median
Canada,54.4,38.8,Above median
Colombia,57.8,31.9,Above median
Congo DR,40.0,22.0,Below median
Cote d'Ivoire,49.8,31.1,Below median
Croatia,49.8,45.9,Below median
Curacao,32.3,24.1,Below median
Czechia,42.7,23.5,Below median
Ecuador,55.8,37.7,Above median
Egypt,51.4,26.9,Above median
England,54.1,44.9,Above median
France,55.9,42.4,Above median
Germany,65.0,37.8,Above median
Ghana,36.3,16.7,Below median
Haiti,42.7,22.6,Below median
IR Iran,39.0,29.7,Below median
Iraq,38.3,9.5,Below median
Japan,46.3,38.2,Below median
Jordan,30.7,37.5,Below median
Korea Republic,63.0,34.4,Above median
Mexico,52.2,30.0,Above median
Morocco,59.0,37.7,Above median
Netherlands,53.3,47.8,Above median
New Zealand,47.0,48.4,Below median
Norway,52.2,43.9,Above median
Panama,45.7,21.9,Below median
Paraguay,30.0,22.9,Below median
Portugal,58.4,27.4,Above median
Qatar,33.0,38.9,Below median
Saudi Arabia,38.3,41.2,Below median
Scotland,44.3,24.1,Below median
Senegal,55.3,33.3,Above median
South Africa,48.0,28.2,Below median
Spain,64.1,38.6,Above median
Sweden,46.3,47.9,Below median
Switzerland,54.0,40.5,Above median
Tunisia,39.3,33.3,Below median
Turkiye,66.3,22.5,Above median
Uruguay,55.0,26.5,Above median
USA,56.8,32.2,Above median
Uzbekistan,38.3,27.8,Below median
