# Nafis - Task 4: Age and Physical Workload (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament AND at least one match with tracked physical data (n=482; 2 players with >=180 min were dropped for missing date-of-birth data in the source: Lionel Messi, Kevin Pina). distance_km_per90 = total km covered across tracked matches / (total minutes played / 90). Age computed as of tournament start (2026-06-11).
player,team,position,age,minutes_played,distance_km_per90,age_group
Pau Cubarsí,Spain,D,19,750,7.956,Under 25
Marc Cucurella,Spain,D,27,750,10.058,25 and older
Alexis Mac Allister,Argentina,M,27,749,8.768,25 and older
Aymeric Laporte,Spain,D,32,728,7.939,25 and older
Rodri,Spain,M,29,726,11.169,25 and older
Kylian Mbappé,France,F,27,698,8.487,25 and older
Marc Guéhi,England,D,25,669,8.909,25 and older
Enzo Fernández,Argentina,M,25,663,9.277,25 and older
Dayot Upamecano,France,D,27,661,9.132,25 and older
Harry Kane,England,F,32,653,10.169,25 and older
Michael Olise,France,M,24,650,11.128,Under 25
Ezri Konsa,England,D,28,647,9.122,25 and older
Elliot Anderson,England,M,23,634,10.378,Under 25
Lisandro Martínez,Argentina,D,28,626,3.458,25 and older
Jude Bellingham,England,M,22,616,10.128,Under 25
Lamine Yamal,Spain,M,18,615,9.206,Under 25
Cristian Romero,Argentina,D,28,611,6.739,25 and older
Jules Koundé,France,D,27,610,9.546,25 and older
Mikel Oyarzabal,Spain,F,29,605,9.649,25 and older
Julián Alvarez,Argentina,F,26,601,8.244,25 and older
Granit Xhaka,Switzerland,M,33,600,8.323,25 and older
Manuel Akanji,Switzerland,D,30,600,7.104,25 and older
Nico Elvedi,Switzerland,D,29,600,7.096,25 and older
Ousmane Dembélé,France,F,29,597,9.531,25 and older
Remo Freuler,Switzerland,M,34,594,8.555,25 and older
Adrien Rabiot,France,M,31,585,10.542,25 and older
Achraf Hakimi,Morocco,D,27,570,9.709,25 and older
Brandon Mechele,Belgium,D,33,570,8.143,25 and older
Pedro Porro,Spain,D,26,564,9.496,25 and older
Neil El Aynaoui,Morocco,M,24,563,10.834,Under 25
Declan Rice,England,M,27,558,10.218,25 and older
Nahuel Molina,Argentina,D,28,531,7.859,25 and older
Ricardo Rodríguez,Switzerland,D,33,519,7.472,25 and older
Leandro Trossard,Belgium,F,31,510,10.606,25 and older
Breel Embolo,Switzerland,F,29,506,7.323,25 and older
Pedri,Spain,M,23,499,11.521,Under 25
Dani Olmo,Spain,M,28,495,10.116,25 and older
Rodrigo De Paul,Argentina,M,32,495,7.887,25 and older
