player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Ermedin Demirović,Bosnia & Herzegovina,F,356,4,1,5,1.264,Advanced to Knockout
Leandro Trossard,Belgium,F,510,6,5,11,1.941,Advanced to Knockout
Lamine Yamal,Spain,M,615,11,3,14,2.049,Advanced to Knockout
Gilberto Mora,Mexico,M,215,3,2,5,2.093,Advanced to Knockout
Yasser Ibrahim,Egypt,D,466,8,2,10,1.931,Advanced to Knockout
Alexander Sørloth,Norway,F,341,1,0,1,0.264,Advanced to Knockout
Richie Laryea,Canada,D,431,10,2,12,2.506,Advanced to Knockout
Jesús Gallardo,Mexico,D,372,3,7,10,2.419,Advanced to Knockout
Antonio Rüdiger,Germany,D,262,2,0,2,0.687,Advanced to Knockout
Idrissa Gana Gueye,Senegal,M,364,6,2,8,1.978,Advanced to Knockout
Ghislain Konan,Côte d'Ivoire,D,269,3,0,3,1.004,Advanced to Knockout
Noussair Mazraoui,Morocco,D,486,14,2,16,2.963,Advanced to Knockout
Noni Madueke,England,F,288,5,2,7,2.188,Advanced to Knockout
Gustavo Puerta,Colombia,M,470,3,4,7,1.34,Advanced to Knockout
Ivan Perišić,Croatia,M,360,8,4,12,3.0,Advanced to Knockout
Antonio Nusa,Norway,F,325,4,2,6,1.662,Advanced to Knockout
Thomas Partey,Ghana,M,270,4,6,10,3.333,Advanced to Knockout
Fabian Rieder,Switzerland,M,304,6,1,7,2.072,Advanced to Knockout
Mikel Merino,Spain,M,210,3,3,6,2.571,Advanced to Knockout
Denzel Dumfries,Netherlands,M,390,6,1,7,1.615,Advanced to Knockout
Harry Kane,England,F,653,3,1,4,0.551,Advanced to Knockout
Fabián Ruiz,Spain,M,331,7,4,11,2.991,Advanced to Knockout
Cristiano Ronaldo,Portugal,F,441,2,1,3,0.612,Advanced to Knockout
Gustavo Velázquez,Paraguay,D,244,1,1,2,0.738,Advanced to Knockout
Brian Gutiérrez,Mexico,M,198,2,2,4,1.818,Advanced to Knockout
Ryan Mendes,Cabo Verde,M,331,5,4,9,2.447,Advanced to Knockout
Keito Nakamura,Japan,M,310,4,1,5,1.452,Advanced to Knockout
