player,team,position,age,minutes_played,distance_km_per90,age_group
Mikel Merino,Spain,M,29,210,12.844,25 and older
Andrés Cubas,Paraguay,M,30,480,10.928,25 and older
Granit Xhaka,Switzerland,M,33,600,8.323,25 and older
Amar Memić,Bosnia & Herzegovina,M,25,224,10.354,25 and older
Maxim De Cuyper,Belgium,D,25,443,10.394,25 and older
Ahmed Fatouh,Egypt,D,28,268,9.927,25 and older
Anthony Gordon,England,F,25,399,9.28,25 and older
Josip Šutalo,Croatia,D,26,360,9.352,25 and older
Marcus Rashford,England,F,28,229,11.138,25 and older
Konrad Laimer,Austria,D,29,360,10.168,25 and older
Eldor Shomurodov,Uzbekistan,F,30,269,9.482,25 and older
Jhon Lucumí,Colombia,D,27,479,8.213,25 and older
Ryan Mendes,Cabo Verde,M,36,331,9.797,25 and older
Patrick Berg,Norway,M,28,444,11.475,25 and older
Leroy Sané,Germany,M,30,328,9.897,25 and older
Nicolas Pépé,Côte d'Ivoire,F,31,244,9.166,25 and older
Marc Cucurella,Spain,D,27,750,10.058,25 and older
Yazan Al-Arab,Jordan,D,30,270,8.75,25 and older
João Félix,Portugal,F,26,204,10.2,25 and older
Emam Ashour,Egypt,M,28,366,9.652,25 and older
Ezri Konsa,England,D,28,647,9.122,25 and older
Enner Valencia,Ecuador,F,36,290,8.863,25 and older
Dan Ndoye,Switzerland,M,25,408,7.573,25 and older
Luis Romo,Mexico,D,30,268,10.38,25 and older
Tani Oluwaseyi,Canada,F,26,260,9.606,25 and older
Antonee Robinson,USA,D,28,349,10.55,25 and older
Merchas Doski,Iraq,D,26,270,9.74,25 and older
Ramin Rezaeian,Iran,D,36,270,10.683,25 and older
Lewis Ferguson,Scotland,M,26,270,11.717,25 and older
Philipp Lienhart,Austria,D,29,180,9.43,25 and older
Nahuel Molina,Argentina,D,28,531,7.859,25 and older
Gideon Mensah,Ghana,D,27,360,9.533,25 and older
Issa Diop,Morocco,D,29,477,6.323,25 and older
Takehiro Tomiyasu,Japan,D,27,184,9.215,25 and older
Akram Afif,Qatar,M,29,239,8.65,25 and older
Tim Ream,USA,D,38,360,8.843,25 and older
Marwan Attia,Egypt,M,27,434,10.734,25 and older
Brandon Mechele,Belgium,D,33,570,8.143,25 and older
Daichi Kamada,Japan,M,29,331,9.979,25 and older
Jordan Ayew,Ghana,F,34,304,9.761,25 and older
Antonio Rüdiger,Germany,D,33,262,7.506,25 and older
Pape Gueye,Senegal,M,27,236,10.667,25 and older
Rodrigo De Paul,Argentina,M,32,495,7.887,25 and older
Chris Wood,New Zealand,F,34,270,9.683,25 and older
Viktor Gyökeres,Sweden,F,28,360,9.848,25 and older
Aïssa Mandi,Algeria,D,34,360,8.83,25 and older
Ismael Saibari,Morocco,M,25,385,10.202,25 and older
Torbjørn Heggem,Norway,D,27,444,9.274,25 and older
Marc Guéhi,England,D,25,669,8.909,25 and older
Leandro Paredes,Argentina,M,31,473,7.74,25 and older
Gonzalo Montiel,Argentina,D,29,189,6.595,25 and older
Sead Kolašinac,Bosnia & Herzegovina,D,32,339,9.512,25 and older
Abdulelah Al-Amri,Saudi Arabia,D,29,240,9.071,25 and older
Marin Pongračić,Croatia,D,28,270,8.86,25 and older
John McGinn,Scotland,M,31,261,9.41,25 and older
Marcos Llorente,Spain,D,31,193,9.709,25 and older
Tajon Buchanan,Canada,M,27,380,9.564,25 and older
Rodri,Spain,M,29,726,11.169,25 and older
Cyle Larin,Canada,F,31,189,9.057,25 and older
Stephen Eustaquio,Canada,M,29,391,11.267,25 and older
Kai Havertz,Germany,F,27,355,10.382,25 and older
Mohamed Kanno,Saudi Arabia,M,31,225,10.064,25 and older
Jan Paul van Hecke,Netherlands,D,26,390,9.002,25 and older
Martin Ødegaard,Norway,M,27,471,11.49,25 and older
Yan Diomande,Côte d'Ivoire,F,19,331,9.337,Under 25
Mohannad Abu Taha,Jordan,M,23,265,10.145,Under 25
Lamine Yamal,Spain,M,18,615,9.206,Under 25
Fabian Rieder,Switzerland,M,24,304,7.943,Under 25
Martin Baturina,Croatia,M,23,324,10.039,Under 25
Oswin Appollis,South Africa,M,24,255,10.44,Under 25
Pedro Vite,Ecuador,M,24,360,10.46,Under 25
Renato Veiga,Portugal,D,22,450,9.266,Under 25
Nico O'Reilly,England,D,21,462,10.032,Under 25
Jérémy Doku,Belgium,M,24,311,9.541,Under 25
Thapelo Maseko,South Africa,M,23,245,9.5,Under 25
Aleksandar Pavlović,Germany,M,22,274,11.45,Under 25
Noah Sadiki,DR Congo,M,21,258,11.191,Under 25
Jarell Quansah,England,D,23,200,9.153,Under 25
Pau Cubarsí,Spain,D,19,750,7.956,Under 25
Julio Enciso,Paraguay,M,22,387,10.379,Under 25
Guéla Doué,Côte d'Ivoire,D,23,277,9.52,Under 25
Brian Brobbey,Netherlands,F,24,232,8.341,Under 25
Ben Gannon-Doak,Scotland,M,20,187,9.558,Under 25
Anass Salah-Eddine,Morocco,D,24,212,9.161,Under 25
Yasin Ayari,Sweden,M,22,341,10.037,Under 25
David Møller Wolfe,Norway,D,24,431,9.601,Under 25
Bukayo Saka,England,F,24,357,10.334,Under 25
Nestory Irankunda,Australia,F,20,264,8.84,Under 25
Gilberto Mora,Mexico,M,17,215,9.988,Under 25
Amar Dedić,Bosnia & Herzegovina,D,23,270,10.177,Under 25
Luc De Fougerolles,Canada,D,20,372,3.515,Under 25
Abbosbek Fayzullaev,Uzbekistan,M,22,223,9.908,Under 25
Nicolas Jackson,Senegal,F,24,232,10.338,Under 25
Livano Comenencia,Curaçao,D,22,235,10.536,Under 25
João Neves,Portugal,M,21,391,11.417,Under 25
Farès Chaïbi,Algeria,M,23,360,10.853,Under 25
Jordan Bos,Australia,D,23,309,9.964,Under 25
Bilal El Khannouss,Morocco,M,22,466,9.346,Under 25
Morgan Rogers,England,M,23,349,11.581,Under 25
Caleb Yirenkyi,Ghana,M,20,272,10.962,Under 25
Marko Stamenić,New Zealand,M,24,269,10.435,Under 25
Willian Pacho,Ecuador,D,24,360,6.44,Under 25
Oscar Bobb,Norway,M,22,233,10.456,Under 25
Neil El Aynaoui,Morocco,M,24,563,10.834,Under 25
Nathan-Dylan Saliba,Canada,M,22,182,11.013,Under 25
Crysencio Summerville,Netherlands,M,24,253,9.619,Under 25
Rafik Belghali,Algeria,M,24,333,9.865,Under 25
Chadi Riad,Morocco,D,23,345,7.291,Under 25
Alessandro Circati,Australia,D,22,390,9.36,Under 25
Amad Diallo,Côte d'Ivoire,M,23,184,10.066,Under 25
Ryan Gravenberch,Netherlands,M,24,347,9.643,Under 25
Redouane Halhal,Morocco,D,23,180,9.05,Under 25
Alex Baena,Spain,M,24,487,9.922,Under 25
Folarin Balogun,USA,F,24,314,9.519,Under 25
Tarik Muharemović,Bosnia & Herzegovina,D,23,260,9.478,Under 25
Ngal'ayel Mukau,DR Congo,M,21,196,11.764,Under 25
Mbekezeli Mbokazi,South Africa,D,20,360,6.375,Under 25
Bradley Barcola,France,F,23,384,9.448,Under 25
Anthony Elanga,Sweden,F,24,216,9.5,Under 25
Christ Inao Oulaï,Côte d'Ivoire,M,20,208,10.112,Under 25
Moisés Caicedo,Ecuador,M,24,360,10.24,Under 25
Gustavo Puerta,Colombia,M,22,470,10.488,Under 25
Jonas Adjei Adjetey,Ghana,D,22,225,5.436,Under 25
Petar Sučić,Croatia,M,22,288,11.725,Under 25
Désiré Doué,France,F,21,398,10.504,Under 25
Paul Wanner,Austria,M,20,234,11.031,Under 25
Florian Wirtz,Germany,M,23,363,10.626,Under 25
Jude Bellingham,England,M,22,616,10.128,Under 25
